Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint,Complaint Detail,Incident Zip,Status,Community Board,Borough,Latitude,Longitude,Complaint Year,Complaint Month,Month Name,Main Complaint Category,Neighborhood
67351762,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10029,Closed,11 MANHATTAN,MANHATTAN,40.792140506423976,-73.9500970728466,,,,Noise,East Harlem (South)
67344624,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10031,Closed,09 MANHATTAN,MANHATTAN,40.82513729000985,-73.94944723723135,,,,Noise,Hamilton Heights-Sugar Hill
67346873,,,NYPD,New York City Police Department,Blocked Driveway,Partial Access,11234,Closed,18 BROOKLYN,BROOKLYN,40.61999469378536,-73.9211673905339,,,,Parking & Traffic,Flatlands
67353004,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11235,Closed,15 BROOKLYN,BROOKLYN,40.591541524842,-73.95597913081173,,,,Noise,Sheepshead Bay-Manhattan Beach-Gerritsen Beach
67349434,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11234,Closed,18 BROOKLYN,BROOKLYN,40.629372641945864,-73.92800492568782,,,,Noise,Flatlands
67351447,,,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,11214,Closed,11 BROOKLYN,BROOKLYN,40.60033056712555,-73.99990997329047,,,,Parking & Traffic,Bath Beach
67352978,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11355,Closed,07 QUEENS,QUEENS,40.75630075802223,-73.82119606250367,,,,Noise,Flushing-Willets Point
67345598,,,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,10031,Closed,09 MANHATTAN,MANHATTAN,40.82743747315276,-73.94970203821684,,,,Parking & Traffic,Hamilton Heights-Sugar Hill
67351631,,,NYPD,New York City Police Department,Blocked Driveway,Partial Access,11230,Closed,14 BROOKLYN,BROOKLYN,40.62862104313222,-73.9743819476775,,,,Parking & Traffic,Flatbush (West)-Ditmas Park-Parkville
67347044,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10461,Closed,10 BRONX,BRONX,40.841544654779625,-73.82891442447752,,,,Noise,Throgs Neck-Schuylerville
