Neighborhood,Complaint,Borough,Count
Allerton,Abandoned Bike,BRONX,5
Allerton,Abandoned Vehicle,BRONX,229
Allerton,Air Quality,BRONX,20
Allerton,Animal in a Park,BRONX,8
Allerton,Animal-Abuse,BRONX,99
Allerton,Asbestos,BRONX,10
Allerton,BEST/Site Safety,BRONX,4
Allerton,Bike Rack,BRONX,1
Allerton,Bike/Roller/Skate Chronic,BRONX,4
Allerton,Blocked Driveway,BRONX,1553
Allerton,Boilers,BRONX,27
Allerton,Broken Parking Meter,BRONX,19
Allerton,Building/Use,BRONX,133
Allerton,Bus Stop Shelter Complaint,BRONX,2
Allerton,Cannabis Retailer,BRONX,4
Allerton,Commercial Disposal Complaint,BRONX,4
Allerton,Construction Lead Dust,BRONX,16
Allerton,Construction Safety Enforcement,BRONX,8
Allerton,Consumer Complaint,BRONX,121
Allerton,Curb Condition,BRONX,25
Allerton,Damaged Tree,BRONX,106
Allerton,Day Care,BRONX,14
Allerton,Dead Animal,BRONX,50
Allerton,Dead/Dying Tree,BRONX,20
Allerton,Derelict Vehicles,BRONX,328
Allerton,Dirty Condition,BRONX,210
Allerton,Drinking,BRONX,12
Allerton,Drinking Water,BRONX,4
Allerton,Drug Activity,BRONX,61
Allerton,Dumpster Complaint,BRONX,3
Allerton,E-Scooter,BRONX,4
Allerton,Electrical,BRONX,6
Allerton,Elevator,BRONX,510
Allerton,Emergency Response Team (ERT),BRONX,21
Allerton,Encampment,BRONX,34
Allerton,Food Establishment,BRONX,54
Allerton,Food Poisoning,BRONX,14
Allerton,For Hire Vehicle Complaint,BRONX,66
Allerton,For Hire Vehicle Report,BRONX,1
Allerton,General Construction/Plumbing,BRONX,176
Allerton,Graffiti,BRONX,73
Allerton,Green Taxi Complaint,BRONX,2
Allerton,Harboring Bees/Wasps,BRONX,4
Allerton,Hazardous Materials,BRONX,6
Allerton,Homeless Person Assistance,BRONX,54
Allerton,Illegal Dumping,BRONX,151
Allerton,Illegal Fireworks,BRONX,46
